ID,Central
0,วัน นี้ มี ประ ชุม หัว หน้า บอก ว่า ต้อง เข้า ทุก คน ท่าน มี เรื่อง สํา คัญ จะ ประ กาศ
1,ยาย พิศ เขา เป็น คน ดี นุ่ง ขาว ห่ม ขาว เข้า วัด อยู่ อย่า เห็น บ่อย เวลา ไป วัด ตอน วัน พระ
2,แฟชั่น แบบ ไทย ไทย เรา พอ นาง แบบ เดิน ออก มา คน เขา ก็ ดู ที่ หน้า ตา ก่อน เสื้อ ผ้า มา อัน ดับ สอง
3,หนู ว่า จะ ไป รับ ช้าง ขาย ของ ที่ ตลาด เย็น จะ ได้ ช่วย พี่ หา เงิน บ้าง ดี ไหม
4,ไม่ ว่า ผู้ หญิง ไม่ ว่า ผู้ ชาย ตอน นี้ ขี่ รถ กัน เปล่าน ปาด โทะ ขี่ ไป เป็น พวก พล่าน ได้ พัด กัน สัก วัน น่ะ
5,บาง คน ไป ใช้ บริการ ของ โรง แรม ห้า ดาว ก็ ชอบ ที่ จะ หา ร่อย ฟ้อง ร้อง เอา แต่ เสีย หาย อะ ไร ให้ ได้ บ้าง น่ะ
6,ช่วง เดือน แปด เข้า เดือน เก้า เหนือ ที่ วัด เจดีย์ หลวง ท่าน มี งาน ใส่ ขัน ดอก อินทขีล เรา ไป เที่ยว กัน สัก หน่อย นะ
7,ไป ไหว้ ป้า ละ ยัง รีบ ไป ไหว้ เผื่อ ป้า ให้ เงิน ซัก ร้อย สอง ร้อย เป็น ค่า ขนม
8,แม่ ไม่ ค่อย จะ ได้ อยู่ บ้าน นะ ช่วง นี้ ของ ผ้า ของ ผ้า ดูน เต็ม ซ้า หมด ลูก สัก ให้ แม่ หน่อย นะ
9,มัคนายก หา งาน นี้ ก็ เหนื่อย พอ ประ มาณ แล้ว ยัง ต้อง มา หา ที่ อยู่ อีก จะ เอา อ้วก ถูก ถูก มัน ก็ อยู่ ไกล ที่ อยู่ ใกล้ มัน ก็ แพง
10,พี่ พี่ พรุ่ง นี้ พี่ จะ ไป ไหน ไหม น้อง ว่า จะ ขอ ไป ส่ง ซื้อ ของ ที่ ตลาด วโรรส หน่อย นะ
11,ดอย สุเทพ นี้ มี แต่ โค้ง เนอะ ขับ รถ ขึ้น มา ได้ ไม่ นาน ก็ มัว เราะ ช้น แล้ว ล่ะ
12,อยาก ไป กระ ปลา ที่ น้ํา เหมือง ริม ทุ่ง นา ใคร อยาก ไป กับ ข้า บ้าง เดี๋ยว อีก เดี๋ยว ข้า จะ เลี้ยง ข้าว
13,เธอ อย่า มา ช้อง ฉัน นะ ฉัน รู้ นะ ว่า เมื่อ คืน เธอ ไป เที่ยว ที่ ไหน เธอ ฉัน หลอก ทํา ไม เธอ
14,วัน ซืน แม่ นั่ง ดู ที วี เห็น เขา ลง ข่าว วัด บ้าน เรา ด้วย นะ อีก นิด คน คง จะ มา เที่ยว หลาย
15,ก็ อยาก จะ มี เหมือน กัน แฟน อะ แต่ มัน หา ไม่ ได้ น่า สิ สมัย นี้ ผู้ ชาย ยาก มาก
16,ลูก ต้อง ตั้ง ใจ เรียน เยอะ เยอะ นะ ใหญ่ มา จะ ได้ ไป ทํา งาน ที่ ดี ดี มี หน้า มี ตา อยู่ ใน สัง คม กับ เขา บ้าง
17,เด็ก เมื่อ วาน ก่อน ซืน นี้ เฉย เฉย มาก จริง จริง เขา บอก ว่า อะ ไร ให้ ก็ ไม่ ฟัง
18,เมื่อ คืน พ่อ หวาม หา ผ้า ห่ม ไม่ เจอ ก็ เลย นอน สั่น ทั้ง คืน ดิ้น แบบ ไร ก็ ไม่ นอน
19,จะ ว่า ไป เรา ไม่ เห็น พี่ คํา เลย นะ ตั้ง แต่ เขา แต่ง งาน ใหม่ ก็ หาย หน้า หาย ตา ไป เลย
20,อย่า พูด กัน เสียง ดัง สิ เดี๋ยว ครู จะ เข้า มา ด่า เอา นะ ฉัน ไม่ อยาก ได้ ยิน ครู ด่า
21,กิน ข้าว ก็ กิน ให้ มัน ดี ดี จะ ไป กิน ไป ด้วย เล่น โทรศัพ ไป ด้วย มัน จะ หย้าม
22,หลวง คืน นี้ ลุง ขอ มา นอน ที่ วัด นะ ลุง จัย คู่ ลุง เค้า ไม่ ให้ นอน ด้วย เพราะ ว่า ลุง ลืม เอา เงิน มา รอม เมื่อ วาน
23,ขอ แม่ นั่ง เงิน หลัง ซัก หน่อย สิ เดิน มา ไกล นัก มาก ปวด แข้ง เจ็บ ขา ไป หมด ละ
24,เมื่อ วาน ไป ทํา บัตร ประ ชา ชน ใหม่ อะ ไร ก็ เอ็ง ไป หน่อย เดี๋ยว ก็ ได้ บัตร ละ เสีย อย่าง เดี๋ยว เจ้า หน้า ที่ สะ กด ชื่อ ภา ษา อังกียว เรา ผิด
25,น้อง จา ทํา ไม โต ไว ไม่ ได้ เจอ กัน นาน มาก มาก ใหญ่ ส้ม วย ออก ไป ทาง แม่ เนอะ
26,เพื่อน ของ เรา มัน หุม ตี ไก่ มาก เลย ตอน นี้ ไป ดู มัน สิ เปล่า กาย ลง ไหน ลง นั่น เพราะ บาป ที่ มัน ไป ตี ไก่ นั้น นะ
27,เชียง ดาว มี ที่ เที่ยว ที่ ไหน บ้าง เรา เห็น คน ไป เที่ยว มาก อยาก ลอง ไป เที่ยว ดู ซัก ที
28,ขับ มา ถึง แยก นี้ แล้ว ก็ เลี้ยว ซ้าย ตรง ไป อีก นิด เจอ ซอย ข้าง ขวา มือ ก็ เลี้ยว เข้า ซอย เลย
29,ครู ที่ โรง เรียน โทร มา หา บอก ให้ เธอ เอา หนัง สือ ไป ส่ง ให้ ลูก หน่อย นะ
30,เรา ว่า เรา ทุกข์ ดู ราย การ ใน โทรทัศน์ เขา ยิ่ง ทุกข์ กว่า เรา บ้าง ไม่ มี ที่ อยู่ บ้าง ไม่ มี เข้า กิน
31,อา หาร เมือง ที่ พวก คน กรุง เทพ คน ที่ อื่น เขา รู้ จัก ก็ มี แต่ เข้า ซอย แกง รัง เล น้ํา พริก หนุ่ม เท่า นั้น นะ มั้ย
32,เมื่อ วาน นี้ เห็น เขา ว่า มี แขก ใหญ่ โต มา กิน ข้าว เงิน บน ห้าง วัน นี้ ใต้ ห้าง ก็ เลย เหลี้ยม มาบ มาบ
33,เมื่อ ไหร่ ก็ บ่น ว่า ไม่ มี เงิน ก็ เธอ ไม่ ไป ทํา งาน ไหน สัก ที่ จะ มี เงิน กับ เขา เหรอ
34,วัน พรุ่ง นี้ นะ ไป ซื้อ ฟัน ที่ ตลาด วัว ให้ แม่ หน่อย นะ วัน พรุ่ง นี้ เขา จะ เกิน วัว เอา มา เยอะ เยอะ นะ
35,พ่อ ให้ มา ถาม ว่า ไก่ ตัว นี้ แม่ จะ ทํา อะ ไร กิน พ่อ จะ ได้ เอา ไป ของ ไว้ ถ้า
36,วัน นี้ จะ ไป กลับ บ่วย นะ ใส่ หมวก กัน น็อก ด้วย พ่อ เป็น ห่วง ค่ํา มา รถ มัน เยอะ อันตราย
37,ใคร มี รถ เครื่อง ก็ เอา รถ มอเตอร์ไซค์ ไป นะ ใคร ไม่ มี ก็ หา ซ้อน รถ คน ที่ มี เอา แต่ จะ ไป ซ้อน สาม นะ ตํา รวจ จะ จับ หัว
38,นาย ระ วัง นะ จะ ไป เดิน ผ่าน บ้าน ย่า ฟอง คํา นะ หมา จะ สด ออก มา กัด มึง นา มัน สวก มาก
39,ป้า เหมย ข้าง บ้าน เรา เอา อะ ไร ก็ ไม่ รู้ แม่ เมื่อ เช้า เห็น ลุง มา พา ไป โรง พยาบาล
40,เธอ จะ เอา เสื้อ สี ไหน อย่าง ไร เลือก เอา เถอะ เมื่อ ไหร่ ก็ บ่น ว่า อยาก ได้ เสื้อ ใหม่
41,ถ้า เห็น แสง เขียว ลอย ตาม ห้วย ตอน กลาง คืน จะ ไป ตัก นะ เขา ว่า เป็น สาง ออก มา หา กิน กิน กิน กิน
42,แม่ พ่อ ว่า พ่อ อยาก กิน แกง ฟัก ไม่ ทอง ใส่ ปลา แห้ง พ่อ ว่า ให้ แม่ ไป ซื้อ ที่ ตลาด ให้ หน่อย
43,จริง จริง วัน นั้น ก็ พูด จะ ยัง ไง เห็น ทํา ตาม ที่ พูด เล็ก น้อย ไม่ ต้อง มา หลอก ก็ ไม่ เชื่อ แล้ว
44,นี่ สิ เธอ อยาก ซื้อ เกลือ ไม่ ใช่ เหรอ มี เยอะ แยะ เอา ซัก กี่ ถุง เลือก เอา เลย นะ
45,คน รุ่น ใหม่ เขา ใส่ เสื้อ ผ้า พื้น เมือง กัน บ้าง ไหม หรือ ว่า ใส่ ไป โรง เรียน ทุก วัน ศุกร์ อย่าง เดียว
46,อยาก กรูป อยาก เอ็ดดก ดัง ให้ ได้ ยิน ไป สาม บ้าน แปด บ้าน ไม่ หน้า รัก เลย จ๋า สั่ง แต่ เงิน ไม่ ให้
47,น้ํา หอม กิ่น ทา ทุก ระ นี้ มัน หอม มาก เลย วัน นั้น เรา ซื้อ ไป ฝาก แม่ ขวด หนึ่ง แม่ ชอบ มาก มาก
48,พี่ น้อง ว่า ขอ ยืม ปาก กา สัก ด้าม สิ ของ น้อง มัน หาย ยืม ก่อน เดี๋ยว ไป ซื้อ ใหม่
49,รีบ อาบ น้ํา อาบ ตั้ง แต่ บ่าย สอง แล้ว แม่ ท้อง จะ เข้า ห้อง น้ํา ต่อ เร็ว เร็ว นะ
50,แกง อ่อม ที่ บ้าน ศพ วัน นี้ จาง พริก จาง กระ เกือ ไป น่อย น้ํา พริก ตา แดง อร่อย ดี จับ พริก จับ เกื้อ
51,ลูก บ้าน ประ กาศ ให้ ไป ช่วย กัน ทํา ความ สะ อาด วัด วัน พรุ่ง นี้ หน่อย เห็น ว่า เขา จะ มี งาน สรง น้ํา พระ ธาตุ
52,ที่ จอด รถ ใน โรง รถ เต็ม แล้ว ครับ พี่ เอา ไป จอด ทาง นอก นะ แถว ข้าง ทาง จน จะ มี ที่ จอด อยู่
53,แม่ สั่ง ป้า อ้วน ไว้ แล้ว แม่ เย็น ไป เอา ด้วย มี ยํา งุ้น เส้น เนื้อ ปิ้ง แกง เห็ด ถอบ ขนม เทียน
54,เธอ ปอก มะ ม่วง สัก สอง สาม ลูก ถ้า ฉัน นะ เดี๋ยว ฉัน ไป ซื้อ ปลา แห้ง มา ใส่ ตํา มะ ม่วง หน่อย
55,ลูก เอ๋ย ผ้า ผืน นี้ เขา เอา มา ให้ พวก ผู้ ชาย นุ่ง โจง กระ เบน ตอน กลาง คง ได้ ถ้า อยาก ได้ ผ้า มา บุญ ทุก ลอง ไป ถาม พ่อ อา จารย์ ดู นะ
56,พวก เธอ จะ เอา อะ ไร บ้าง ตอน นี้ ฉัน จะ ไป ร้าน บ้าน ยาย เลย เนี่ย จะ เอา อะ ไร หรือ ว่า มา นะ
57,น้ํา เปรี้ยว ปั่น กับ น้ํา ตอน เท่า ปั่น อัน ไหน อร่อย ก็ กิน อัน นั้น นะ ก็ ว่า จะ ซื้อ มา ให้ สอง แก้ว เลย ก็ ได้
58,พระ สงฆ์ คุณ ผู้ ใหญ่ ตอน กลาง วัน กร้าม วัด รอ แน จะ กิน ไข่ พะ โล้ อา หาร พุ่ง นี้
59,ที่ ตลาด ตอน เย็น เปิด ขาย เป็น ตลาด นัด มี เสื้อ ผ้า อา หาร เล่น เยอะ มาก พวก เด็ก คง จะ ชอบ ไป
60,เพื่อน เรา มัน เป็น คน เงิน ใต้ ผึว มัน ก็ เลย มอย มอย น้อย ผิว สวย มาก เหมือน ผิว ฝรั่ง เลย
61,วัน นี้ คณะ หาย ไป ไหน หมด ไม่ เข้า มา เรียน กัน ไป ด้วย คะ พวก ให้ มา เรียน ด้วย นะ
62,วัน นี้ ไป ดู น้อง มาย เดิน ขบวน ไหม เห็น เพื่อน พวก พูด ว่า น้อง มาย ได้ กํา ป้าย โรง เรียน
63,เป็น เพราะ ไง เป็น แบบ นี้ นะ มั้ย สามี ก็ เลย ขโมย ไป เล่น ชู่ อยู่ ดี ไม่ ว่า ดี ทํา ให้ สามี ได้ ชัง
64,นาย คน โก หก ล้อน ไม่ ใช่ เหรอ ทํา ไม มัน นุ่ง เสื้อ สอง ชั้น สาม ชั้น ไม่ กลัว สิ พิ่ง ลม หรอ นั่น
65,เขา ว่า น้ํา ผึ้ง เป็น ยา อา ยุ วัฒ เอ ถ้า เรา กิน ทุก วัน เรา จะ อา ยุ ยืน มั้ย นะ
66,เมื่อ ไหร่ โควิด มัน จะ หาย ไป ซัก ที เรา เบื่อ ไม่ อยาก เรียน ออน ไลน์ อยู่ ที่ บ้าน แล้ว มัน เรียน ไม่ รู้ เรื่อง
67,งาน หนัก ก็ ไม่ เอา การ เบา ก็ ไม่ พวก เธอ จะ เอา เงิน ที่ ไหน มา ใช้ มา จ่าย
68,ดู เอา เถอะ หมอ มัน ชอบ พูด อะ ไร ไม่ ได้ มัน ถึง เรียง ดี เคี้ยด จริง มัน ไม่ ได้ ดั่ง ใจ
69,เมื่อ วาน ฉัน ได้ ยิน ป้า คํา แก้ว กับ ป้า ศรี บ้าน เขา นินทา เขา นินทา เขา ลุง บุญ มี ขี้ เมา
70,พ่อ เรา ไป วัด เมื่อ วาน ฟัง พระ พุทธรรม เสร็จ ออก วิ หาร มา รอง เท้า หาย ไป ขอน หนึ่ง ไม่ รู้ ว่า คน ใส่ ไป ผิด ก็ ว่า หมา มา คาบ ไป
71,วัน พรุ่ง นี้ ก็ อา ยุ ครบ ยี่ สิบ สี่ ปี แล้ว จะ พา พ่อ กับ แม่ ไป ทํา บุญ ที่ วัด ด้วย กัน
72,พี่ เขา ก็ ว่า คง จะ มา ทํา งาน สัก ช่วง หนึ่ง แต่ ดู คง จะ นาน ฉัน ก็ เลย รวจ ขอ มา นอน ค้าง บ้าน เรา เป็น งาน ชั่ว คราว ก่อน
73,ใหญ่ แล้ว รู้ บ้าง หรือ อะ ไร ดี ทํา อะ ไร อย่า ทํา คิด เอา คน เดียว อย่า ให้ บอก หลาย นะ
74,เมื่อ วาน พวก เธอ เห็น ข่าว ใน โรง เรียน นั้น เขา ทํา กับ ข้าว ให้ เด็ก สี คง จะ อร่อย มาก โรง เรียน บ้าน ไม่ ทํา งั้น บ้าง เมื่อ
75,เย็น นี้ เขา จะ จอง โต๊ะ ร้าน บุฟเฟต์ ตัว กิน เนื้อ วัว ได้ ไหม จะ ได้ บอก ให้ เขา รู้
76,เดือน หน้า เงิน ที่ รอม ไว้ คง จะ พอ แล้ว ว่า จะ เอา ไป ซื้อ ทอง มา เก็บ ไว้ สัก เส้น
77,เฮ้ย คน ทํา ไม มา เยอะ แบบ นี้ สวย เรา กลับ ก่อน ดี ไหม วัน ใหม่ ค่อย มา อีก คน เยอะ แบบ นี้ เรา กลัว โควิด
78,เดี๋ยว นี้ วัด น่า จะ คน หลาย มาก เขา ว่า ลุง คํา เพิ่ง ตาย ลูก เขา เลย เอา ไว้ วัด เอา
79,ผ้า ขาว นี้ ดี นะ เอา มา นุ่ง เล่น อยู่ บ้าน ก็ ได้ เอา มา คาด เอว ไป เที่ยว ไหน ก็ ได้ เอา มา พัน คอ ก็ ได้ เวลา เข้า วัด เข้า วาน ก็ มา เป็น ผ้า ชว้าย กะ ได้
80,ทํา งาน มา ตั้ง แต่ เช้า เหนื่อย แทะ เหนื่อย ว่า ข้าว ตอน ยัง ไม่ ได้ กิน สัก คาบ หน้า จน เลย
81,อา กาศ หนาว นี้ แขก ต่าง บ้าน ต่าง เมือง มา เที่ยว บ้าน เรา เยอะ ที่ พัก บน เขา ไม่ มี แล้ว
82,เธอ ดู นั่นสิ คน แก่ นั่ง ผิง แดด ด้วย กัน เป็น พวก คุย จา ด้วย กัน ไป เหมาะ กับ หน้า หนาว มาก
83,น้อง คน งาม กิน ข้าว เย็น แล้ว หรอ ไป กิน ข้าว เย็น ที่ โล บิน สิน กับ พี่ ไหม
84,เด็ก หญิง นี้ มา เล่น ชะ อม ก็ เก่ง แต่ เก่ง ว่า เด็ก สมัย นี้ มัน เหน็ด จริง จริง
85,มา ช่วย เรา อาทิ้ว ของ หน่อย สิ มัน หนัก ไม่ หัน อาทิ้ว คน เดียว ไม่ สิ ก็ นึก ว่า มัน จะ มี หน่อย เดียว
86,ไป เดิน ใกล้ วัว เดี๋ยว มัน จะ ไล่ ขวิด ซ้ํา ตัว ก็ แข้ง สั้น อยู่ นั่น แล้ว มัน ชอบ มา ประ เดี๋ยว จะ หก หนี ทัน หรอ
87,คน แก่ สอง คน นั้น ชอบ นินทา เขา อื่น มาก วัน นั้น เดิน ผ่าน กํา ลัง นินทา ป้า ศรี อยู่
88,เธอ ชอบ ร้อง เพลง ไหม ฉัน จะ ชวน ไป ร้อง คาราโอเกะ ด้วย กัน ที่ โล ตัส ข้าง หมู่ บ้าน เรา
89,วัน นี้ แม่ ขอ กิน ข้าว ก่อน นะ จะ รีบ ขึ้น ไป ดู หนัง ช่อง สาม ตอน จบ คืน นี้ แล้ว
90,อี๋ น้ํา ก็ ไม่ อาบ แล้ว  จะ นอน นอน นอน ก็ รีบ ไป อาบ น้ํา เสีย ไม่ ใช่ หนาว มาก เลย
91,พวก เธอ วัน นี้ เรา จะ ซื้อ อะ ไร เป็น ของ ขวัญ วัน เกิด ให้ น้อง จอย ดี คิด ออก กัน บ้าง ไหม
92,แม่ ก็ คิด เห็น ว่า สวน เรา มัน ไกล กัน ว่า เธอ ขยัน จะ ไป เก็บ เอา นั่น ก็ ตาม ใจ เธอ เถอะ
93,ยาย จะ ไป ตลาด นะ ไป ดู ไฟ ที่ เตา ฮัง กิโล ด้วย หลัว จะ หมด ก็ เลย อีก นะ จะ ได้ ไม่ มอด
94,เธอ ว่าง ไหม ตอน นี้ มา ช่วย ฉัน เลือก ของ ที่ ห้าง หน่อย ได้ ไหม ไม่ รู้ จะ เอา อะ ไร ไป ให้ วิทยา กรรม เค้า ดี
95,เอา เชื่อ ฟาก มัด เมือง ผัด ให้ ดี ดี นะ ไม่ งั้น มัน จะ ถอด ผ่าน ออก เกียจ ใหม่ เลย
96,เลิก โรง เรียน มา ก็ รีบ กลับ บ้าน นะ อย่า ไป เที่ยว ที่ ไหน ก็ มา บอก ที่ บ้าน ก่อน เขา จะ ได้ บ่อ เป็น ห่วง
97,ผลไม้ ที่ วาง ขาย บน ห้าง นี้ แพง จริง แล้ว นะ ลูก จน อยาก จะ ร้อย กลับ ไป ซื้อ ที่ ตลาด บ้าน เรา นู่น เถอะ
98,เธอ มี ที่ เที่ยว ใน เชียง ใหม่ แนะ นํา บ้าง ไหม เพื่อน เรา มา ไม่ รู้ จะ ไป เที่ยว ที่ ไหน
99,ใกล้ ค่ํา ละ เดี๋ยว มา ช่วย ลุง ทํา ห้าง บน คา คล้า หน่อย นะ กลาง คืน นอน ใน ป่า เขา ไม่ ให้ นอน กับ พื้น ดิน
100,ออก ไป ซื้อ ข้าว ตอน อย่า ลืม เอา ไป ด้วย นะ ดู ฟ้า สี มืด มืด อย่าง ฝน จะ ตก เนี่ย เอา ไป ด้วย กัน ไว้
101,เย็น นี้ ฉัน จะ แกง ฟัก เขียว ใส่ เนื้อ ไก่ เธอ อยาก กิน ก็ เอา ถ้วย มา แบ่ง ไป กิน ก็ ได้ นะ
102,ฤดู ร้อน แบบ นี้ อยาก ไป เที่ยว น้ํา ตก เนอะ นั่ง กิน ส้ม ตํา นอน แช่ น้ํา เสีย จริง
103,งาน ของ นัก เรียน กิน เวลา อีก พัก ใหญ่ จน รู้ สึก หวย ตา นึก ขึ้น ได้ ยัง มี งาน ประ จํา อีก อย่าง คือ ให้ อา หาร แมว
104,พรุ่ง นี้ เรา ไป เที่ยว เมือง ฝาง กัน ไม่ เค้า อยาก กิน มือง ฝาง อะ มัน หวาน ดี มาก เลย นะ ตัว
105,วัน นี้ ครู สอน อะ ไร อะ ไร เพื่อน เรา ตื่น ไม่ ทัน ตั้ง นะ ฬิ กา คู่ แล้ว แต่ มัน ไม่ ตื่น
106,ป้า ส้ม เขวย หวาน กิโล เท่า ไหร่ ครับ ใช่ ส้ม เมือง ฝาง ไหม นี่ ผม ขอ ซื้อ สอง กิโล ซอ
107,เห็น ยาย แก ว่า อยาก กิน อะ ไร ไม่ รู้ อะ พ่อ ตั้ง แต่ แก ไม่ สบาย อยาก ไป ด่าง เลย
108,นั่ง รถ มา พอ นาน เยอะ ยัง ไม่ ถึง บ้าน พวก เธอ เลย หรือ อีก ไกล ก็ หรอ
109,เธอ ชอบ แกง ฮัง เล ไหม แม่ ฉัน ซื้อ สาม ชั้น มา ฉัน ว่า จะ ทํา แกง ฮัง เล กิน ด้วย กัน นะ
110,งาน ฤดู หนาว ที่ จัด หลัง ศา ลา กาง นั่น เมื่อ คืน นี้ ผู้ ว่า เค้า มา เปิด งาน ของ กิน นี่ มี เยอะ มาก
111,วัน มะ รืน เรา จะ ได้ ไป สอบ คัด เลือก เป็น ฉัน ราชคาร แล้ว ทั้ง ตื่น เต้น ก็ กลัว คน สอบ มี เป็น หมื่น หมื่น คน
112,เขา ว่า เป็น แก่ เป็น แก่ ให้ ลูก หลาน รัก ไม่ ดี ทํา ตัว เอง เป็น คน แก่ ปลา ปิ้ง ลูก หลาน ช่าง ชัง
113,พ่อ หนาน วัน นี้ งาน ที่ วัด เยอะ มาก เลย นะ ดู ก็ เดิน ไป เดิน มา จน โสร่ง พอ จะ ถอด มา เรี่ย ชาย พื้น แล้ว นั่น ไป นุ่ง ให้ มัน ดี ดี สวย สวย งาม ก่อน เถอะ ครับ เดี๋ยว ผม ด้วย
114,หน่วย งาน ราชคาล บ้าน เรา นี่ เวลา ทํา งาน ทั้ง ทํา งาน ชา กัน แต่ เอ็น ดู คน เค้า มา รอ ตั้ง แต่ เช้า ละ
115,วัน นี้ จาก มา ก็ รีบ มา ส่อง แว่น เห็น สิว ขึ้น หน้า ผาก มา สอง ลูก เลย รีบ ออก ไป ซื้อ มา ยา ใส่
116,ปี ใหม่ นี้ หนู อยาก กิน หมู กระ ทะ มาก เลย เดี๋ยว ตอน เย็น เรา ไป ตลาด ซื้อ เนื้อ มา ทํา กิน เนอะ
117,พี่ รู้ ไหม ว่า เมื่อ วาน มี รถ พุ่ง ชน ต้น มะ ขาม หน้า วัด บ้าน เรา คน ปวด มี สี่ ห้า คน นู่น แหละ
118,ยาย นาง เขา ทํา กับ ข้าว อร่อย ทํา ขาย เมื่อ ไหร่ ซื้อ มะ ทัน เต็ม หมด เลย
119,เบื่อ มาก ปิด เทอม อยู่ บ้าน วัน มะ ไม่ ได้ ออก ไป ไหน เลย เที่ยว ก็ ไม่ ได้ เที่ยว เมื่อ ไหร่ จะ เปิด เทอม
120,นุ่ง ผ้า หัว แล้ว ไป นั่ง ที่ กลาง จาน อ่าย หน้า ไป ที่ หอ ผี พ่อ หมอ เขา จะ ขวาก หมุ่ บ้าน ให้ หาย ปวด
121,ปี นี้ กฐิน บ้าน เรา ทาง รัฐบาล เขา ไม่ ให้ จัด เพราะ สถาน การณ์ โรค ระ บาด โควิด สิบ เก้า
122,ใคร บอก ให้ เอา พร้า โท้ ออก มา เล่น เอา ไป วาง ไว้ ที่ เก่า เลย ร้าย จริง ร้าย ว่า เด็ก พวก นี้
123,ลูก กลับ มา ดู แกง ให้ แม่ หน่อย แม่ จะ ขี่ รถ ไป เก็บ หอม ด่วน ที่ เหลือ นี้ มัน ไม่ พอ ใส่ ยํา เนื้อ ไก่
124,วัน เด็ก ปี นี้ พ่อ ว่า จะ พา พวก เรา ไป เที่ยว ที่ เชียง ราย จะ ได้ เปิด หู เปิด ตา บ้าง
125,วัน พรุ่ง นี้ เป็น วัน พระ เดือน ห้า เป็ง เย็น นี้ แม่ จะ ไป ตอง มา ทํา กรวย ดอก ไม้ หน่อย
126,พรุ่ง นี้ วัน มะ รืน บ้าน ฉัน จะ ขึ้น บ้าน ใหม่ บอก ว่า จะ ไป เจิน พระ เจ้า วัด บ้าน ใต้ เขา มา
127,เธอ ซื้อ แกง อะ ไร มา นี่ ไม่ อร่อย ซัก นิด เลย ลาบ ปลา ดุ๊ก ที่ พี่ ทํา ก็ ไม่ ได้
128,มา อยู่ ใน วัด ใน วาน ลม พัด เย็น ดี ดัก ปิ้ง วิ่ง วอย เป็น ดี คง อก เลย ชง ใจ จริง จริง
129,เดี๋ยว เรา เอา กับ ข้าว ไป ทาน ให้ พ่อ แล้ว แล้ว ก็ ค่อย มา ไหว้ ศาล เสื้อ วัด ข้าง วัด นี่
130,ไม่ มี เท่า ไฟ มัน จะ ไป ยาก อะ ไร เอา หิน สาม ก้อน มา ก็ เป็น ก้อน เส้า นั่น ก็ วาง ให้ มัน เหมาะ เตา ไฟ ก็ ได้ ละ เอง
131,วัน นี้ ไม่ ออก ไป ทาง ไหน หรือ ทุก ที เห็น ไป รับ งาน นั้น งาน นี้ หรือ ว่า วัน นี้ เป็น วัน พัก ข่อน
132,เด็ก เดี่ยว นี้ รู้ สึก เลย นะ พวก โทรศัพท์ เครื่อง มือ อะ ไร มัน ก็ จะ ไป ทั้ง หมด ทั้ง เสียง
133,บ้าน เธอ ยัง ใช้ น้ํา ไม่ อยู่ เหรอ เมื่อ ก่อน บ้าน ฉัน ก็ ใช้ น้ํา ไม่ อาบ น้ํา ตอน นี้ ไม่ ได้ ใช้ ละ
134,พรุ่ง นี้ วัน เกิด ฉัน จะ ไป ทาน กัน เข้า หา บ้า บ้า เกิด แม่ เกิด ที่ วัด แม่ ไป ส่ง ฉัน หน่อย นะ
