ID,Central
135,ขวัญ ช่วย พูด อีก หน่อย ได้ ไหม ขอ ชา บ้า เขา ฟัง ไม่ ทัน ตัว พูด ไว ไป เขา ไม่ รู้ เรื่อง
136,เอ ยิ่ง อ่าน หนัง สือ ไป ก็ ยิ่ง มัว ตา ไป เรื่อย เรื่อย ถอด ไหน ก็ ไม่ รู้ ละ เห็น มัน สูน กัน ไป หมด
137,เห็น พ่อ หนาน บ่น ว่า อยาก ได้ กาง เกง กี หม้อม ห้อม วัน นี้ ไป ธุระ ที่ เมือง แพร่ มา ผม เลย ซื้อ มา ฝาก สาม ตัว
138,ตื่น สาย อีก แล้ว เมื่อ วาน ก็ ตื่น สาย ที นี้ พ่อ จะ ไม่ ไป ส่ง ไป โรง เรียน แล้ว นะ
139,พี่ ฝาก ชาว พวก ซื้อ กาง เกง ยีน มา ให้ ใส่ ไม่ ได้ หน่อย มัน กับ ว่า จะ เอา ทํา ให้ หนู ละ
140,การ ขยาย ตัว ทาง เศรษฐกิจ มา พวก จัง หวัด รอบ นอก ทํา ให้ คน บ้าน เรา พอ มี งาน ได้ ทํา บ้าง อย่าง หน่อย ก็ ไม่ ต้อง ไป หา งาน ที่ ไหน ไกล
141,ถ้า ครู่ เดี๋ยว นะ คะ บอก ให้ เด็ก เด็ก ไป เอา แล้ว มี ให้ พี่ เลือก หลาย แบบ หลาย สี เลย ค่ะ
142,ลาบ หมู แม่ คั่ว แล้ว ไว้ ให้ แล้ว นะ รีบ ลง มา กิน ก่อน ที่ จะ เย็น มัน จะ ไม่ อร่อย แล้ว
143,วัน มะ รืน เงิน หน่วย งาน ราชกาล ศา ลา กลาง เขา จะ มา ทาน ต้น กฐิน ที่ วัด เรา พวก แม่ บ้าน มา ช่วย งาน กัน เยอะ เยอะ ด้วย นะ
144,ดอก ซอม พอ กับ หน้า ร้อน นี้ มัน ช่าง น่า มาก เนอะ สี เปรี แดง เข้า กับ แดด ตอน ร้อน จริง
145,เธอ เธอ มี เงิน สด ใน กระ เป๋า สัก ยี่ สิบ บาท ไหม ฉัน ไม่ ได้ เอา กระ เป๋า เงิน มา อะ
146,อีก สาม วัน จะ สอบ อยู่ แล้ว หนัง สือ ทํา ไม ไม่ ชัก อ่าน เล่น ตาย สิ เกม
147,ใน ปัจุบัน การ ตรวจ สุขภาพ หรือ การ ตรวจ สุขภาพ ประ จํา ปี กาย เป็น เรื่อง ธุรกิจ ที่ ทํา ราย ได้ มหา ศาล ให้ กับ โรง พยาบาล
148,เดิน ดี ดี นะ ทาง นั้น มัน ลื่น นะ ระ วัง เผลิด ขึ้น มา หัว แต่ ไม่ รับ ผิด ชอบ นะ
149,ได้ งิน เสียง ซ้อ ซอ ซึง เมื่อ ไหร่ ก็ เหงา ใจ จริง คิด ถึง บ้าน เรา ตอน ก่อน
150,ตอน นี้ ลูก พี่ สม ได้ เป็น เยอะ ข่าว ออก ที วี แล้ว นะ ดี ใจ แทน พี่ สม ลูก ได้ ทํา งาน ละ
151,เธอ เธอ เดี๋ยว ฉัน จะ รีบ กลับ ไป บ้าน ก่อน นะ เมื่อ กี้ แม่ โทร มา หา ว่า ให้ รีบ กลับ ไป กิน ข้าว คง จะ ทํา ไว้ เยอะ มาก
152,ถ้า ฉัน อยาก ไป เที่ยว สัน ป่า ตอง ฉัน จะ ต้อง นั่ง รถ ไป ยัง ไง เหรอ เธอ พอ จะ รู้ บ้าง ไหม
153,อย่า เพิ่ง นอน ดี ดึก ให้ เช่น นะ เดี๋ยว ตื่น สาย พรุ่ง นี้ โรง เรียน เปิด เทอม วัน แรก จะ ไป ไม่ ทัน
154,น้อง มี กาง เกง ก็ อยาก ได้ แบบ ที่ มี ถง กาง เกง ด้วย ขอ ดู สัก สอง สาม ตัว สี อะ ไร ก็ ได้
155,พี่ ค่อย วัด เจดีย์ หลวง ไป ทาง ไหน คะ น้อง ขับ รถ รอบ คู เมือง สิบ ยี่ สิบ รอบ แล้ว ก็ หา ไม่ เจอ สัก ที หรือ
156,พี่ หน่อย เมื่อ คืน ฝน ตก ทาง คง จะ ลื่น จะ ไป เที่ยว ที่ ไหน ก็ ให้ ระ วัง ไว้ หน่อย นะ
157,เช้า แม่ วัน พรุ่ง นี้ จะ ไป ฟัง เทศน์ ที่ วัด นะ ตื่น มา นึ่ง ข้าว เดี๋ยว แม่ จะ ซื้อ ของ กิน ข้าว มา ให้
158,มอง ขึ้น ไป ทาง บน นั่น สิ เห็น มะ ม่วง ลูก นั่น ก็ เรา อยาก ได้ มา ตํา ตัว สิ มา ให้ เรา หน่อย สิ
159,ไป ตัด ใบ ตอง ให้ ยาย หน่อย เอา เงิน ยอด ยอด นะ สี เขียว อ่อน ตอง แก่ ไม่ ต้อง ต๊ก มา
160,คุณ พ่อ ครับ พอ ดี ว่า ลูก ของ พ่อ ฉัน ไม่ ค่อย ได้ มา เรียน หนัง สือ ไม่ รู้ ว่า เป็น อะ ไร แบบ ไร นะ
161,ที่ ทํา แล้ว เหนื่อย เขย ใจ ก็ ทิ้ง ไว้ ที่ ทํา แล้ว ตก เสีย ใจ ก็ ทํา ไป อย่าง ไร ก็ แล้ว แต่ ไม่ ดี ให้ ไป บีบ เบียน คน อื่น เรา ก็ จะ อยู่ เป็น สุข ละ
162,ไม่ ซอย ได้ ใช้ ให้ มัน เบื่อ แข้ง ไบ ขา เรียก มา ก็ ไม่ มา พูด จะ ไหร่ ก็ แล้ว มัน ไม่ ฟัง
163,พี่ จิต ข้าง บ้าน เรา นี่ โดน ตํา รวจ จับ ไป โรง พัก นู้น เห็น ว่า โดน จับ เรื่อง ยา น่ะ
164,เบ็ด กระ ปลา กับ เบ็ด ตกบ มัน คน ละ อย่าง กัน นะ เบ็ด กระ จม ปลา ยาว แค่ ว่า ก็ ได้ ละ เบ็ด ช่อม กบ นี่ ไม่ ได้ ต้อง สอง สาม วาน ขึ้น ไป
165,ขอ โทษ นะ คะ พี่ พูด เรื่อง การ วาง แผน งาน อีก รอบ ได้ ไหม คะ เมื่อ กี้ น้อง ฟัง ไม่ ทัน ค่ะ
166,แม่ ขอ เงิน หนู ได้ ไหม คะ สัก สอง ร้อย วัน นี้ นัด ค่ะ พวก ไป กิน หมู กระ ทะ กัน
167,เมื่อ วาน ไป เที่ยว หา คุณ ยาย เสริฐ ที่ โรง พยาบาล มา ดู หน้า ดู ตา เขา สี ชื้น ขึ้น มา จาด เยอะ นะ ดู น่า จะ หาย ไม่ น้อย
168,แล้ว อา หาน การ กิน ข้าว ต้ม ข้าว หนม ละ มี เสร็จ คา น้ํา หญ้า น้ํา ยาด ด้วย เตรียม ไว้ แล้ว หรอ
169,เด็ก มัน ทํา งาน มา เหนื่อย ปล่อย มัน นอน ไป เถอะ อย่า ไป ไผ่ มัน เดี๋ยว มัน จะ เคี้ยด ให้ เสีย
170,สงกรานต์ นี้ วัด บ้าน เรา จะ มี งาน สืบ คิด ตา หลวง นะ ขอ แรง พ่อ แม่ พี่ น้อง บ้าน เรา มา ช่วย กัน ห้าง กัน ดา ของ ที่ วัด นะ
171,วัน ที่ สิบ กว่า เดือน หน้า เรา ไป เที่ยว อร่อย ปาง ด้วย กัน นะ ไม่ ได้ เที่ยว ด้วย กัน มา นาน แล้ว
172,ใบ จะ นาง พอ เอา มา ตรง มัน จะ ได้ น้ํา ออก มา สี เขียว หลืบ พึ่ง ไว้ แล้ว พ่อ หมอ เขา จะ เอา ไป เข้า ยา อีก หน่อย หนึ่ง
173,มาก เปิด พัด ลม สอง ตัว แล้ว นะ เหงื่อ ยัง ไหล เป็น น้ํา อยู่ คน ขี้ ร้อน นี่ อยู่ ยาก จริง นะ
174,ไป กัน ได้ ละ เธอ อย่า พูด กัน นาน ครู่ เดี๋ยว จะ มืด เขือ เสีย ก่อน งาน จะ ไม่ เสร็จ
175,เรา ใช้ ชีวิต ด้วย กัน ใน ห้อง เจ้า น้อง หน่อย หน่อย พอ กับ รัง หนู แถว แถว โต๊ะ บิล เลียด ขน ส่ง สาย ใต้ เดือน แล้ว ห้า ร้อย ถึง หก ร้อย บาท
176,วัน นี้ ครู ให้ ทํา ข้อ สอบ ร้อย ยี่ สิบ ข้อ ชั่ว โมง ครึ่ง เรา ทํา ไม่ ทัน สิบ กว่า ข้อ สอบ ยาก เกิน ไป เวลา ก็ ไม่ พอ
177,ผม กับ เพื่อน เดิน ไป มา ตาม ริม ฟุต บาท ย่าน บาง ขุน พรหม กํา ลัง ตัด สิน ใจ เลือก โรง แรม มา คู่ เลย เรา ก็ ตัด สิน ใจ ยาก ว่า จะ เอา โรง แรม ไหน
178,ข่าว พยากรณ์ อา กาศ แบบ ที่ มี เอกลักษณ์ เป็น ของ ตัว เอง ทํา ให้ คน ไทย สน ใจ สภาพ ดิน ฟ้า อา กาศ เยอะ ขึ้น ครับ
179,วัน นี้ ตา ถูก หวย อยาก กิน อะ ไร ก็ บอก นะ กุ้ง เผา ปลา เผา ปลา หนึ่ง ไม่ นะ จะ ซื้อ มา เลี้ยง
180,พี่ คํา พา ลูก ภรรยา ไป เที่ยว งาน เครื่อง ไบเทค บาง นา เดิน ไป ก็ หิว ข้าว เลย ไป ซื้อ พิซ่า มา คน ละ ชิ้น
181,ครูบา สี วิ ชัย ที่ เท้า ดอย ทาง ขึ้น ดอย สุเทพ พี่ เคย ไป เที่ยว ก็ ส่วน น้อง นาน ไป อีก
182,ได้ ยัง ไง กิน เล็ก เล็ก เล็ก ไม่ ทัน กิน แล้ว โกรม ใส่ ซ้า เอา กระ ดู เขา ก็ ทํา กัน ทั้ง บาง ได้ ที เป็น สี่ ห้า ซ้า
183,เข้า พรรษา พี่ นี้ ชาว บ้าน พา กัน ทํา เทียน หล่อ เทียน แห่ ไป บูชา ที่ วัด เป็น มัง ละ ยาม เข้า พรรษา
184,ฤดู หนาว เมื่อ ไหร่ คน ทาง ใต้ เขา มา เที่ยว เชียง ใหม่ เยอะ มาก บน ดอย รถ ติด มาก
185,ลูก สาวก เป็น ลูก หลาน ใคร ยาย ไม่ เคย เห็น หน้า ไป ทํา งาน อยู่ ทาง ทิศ ใต้ มา หรอ
186,นก หรอ แก พวก นี้ มัน จาก ที่ ไหน มา กัน หา นั่น บิน มา ยาบ อีก แล้ว นั่น ก็ มา กิน จน โมย ตํา พวก นี้ น่ะ
187,ต้น ฉําฉา ที่ บ้าน ลุง ชัย อะ ไร มา ใหญ่ มาก ตัด กิ่ง มัน ออก ก็ ดี นะ กลัว มัน โค่น ใส่ บ้าน
188,ซอ กัน ประ มาณ สนุก สวย กัน ดี อัน ว่า มี ลม พัด ผาม ซอ ล่ม ขํา ที่ ดี ไม่ มี ใคร ได้ รับ บาด เจ็บ เลย อะ ไร
189,อย่า ดี อิน ดู เขา สม พวก ที่ ไม่ เคย ช่วย ไม่ เคย หา เขา จะ ว่า อิน ดู เขา สงสาร เรา จะ พุธ
190,วัน นี้ คน ไม่ หลาย เดิน ไป ก็ ได้ เพื่อน เคย เล่า ให้ ฟัง ว่า มี แพนด้า ด้วย อยาก เห็น มาก เลย
191,วัน พรุ่ง นี้ แม่ จะ ไป ดํา ขาย ยาย ว่า จะ ไป ซื้อ ของ อะ ไร ให้ แก ดี เนี่ย
192,วัน ก่อน เพื่อน ของ เขา ไป พัก บน เขา กลาง เท้นท์ อยู่ บน ดอย ที่ จัง หวัด น่าน เขา บอก ว่า จะ เข็ด ขนาด แล้ว
193,ก็ บอก แล้ว สิ ว่า อย่า ไป ซอย นั่น หมา เยอะ ดู มัน วิ่ง ตาม รถ นั้น อีก ดี รถ ก็ จะ ทํา อย่าง ไร น่ะ
194,วัน นี้ ฉัน จะ ไป กิน ข้าว ที่ ไหน กัน ฉัน บอก ว่า ไป กิน ข้าว ที่ ตลาด ฝาย หิน กัน ไหม
195,เด็ก เดี่ยว มัน ดื้อ กัน เยอะ ขี่ รถ ขึ้น ล่อง ขึ้น มา มา คง ต้อง เอา ไป บวช ที่ วัด ละ มั้ง
196,วัน พรุ่ง นี้ พา ยาย ไป โรง พยาบาล หน่อย นะ ปวด มาก มาก จะ ไป ให้ หมอ ดู มัน เป็น อย่าง ไร
197,ผู้ ใหญ่ บ้าน เขา พูด ไว้ ที่ วัด ว่า ถ้า พ้น จาก ปี ใหม่ มือง เกือบ หน่อย เขา จะ ทํา สืบ จ๊า หมู่ บ้าน เรา นะ
198,วัน นี้ ทํา ไม มา หนาว จริง หนาว ว่า ปี แล้ว ยัง ไม่ หนาว แบบ นี้ แทบ ผ้า เท่า ไหร่ ก็ ไม่ พอ
199,ครู ถาม โบ ว่า เมื่อ วาน ไป ไหน ไม่ มา เรียน หนัง สือ ทํา ไม ไม่ พูด เป็น อะ ไร นั่ง ดาก ก็ ชื่อ หื้อ
200,วัน นี้ เรา ขอ ขอ อาบ คุณ พ่อ แม่ พี่ น้อง ทุก ผู้ ชุ่ คน นะ ที่ ได้ มี ช่วย การ ช่วย งาน ทํา ความ สะ อาด วัด สาม วาน บ้าน เรา
201,อย่า ได้ เดิน มา แถว นี้ นะ หมด แดง ไฟ เต็ม เลย เดี๋ยว พ่อ จะ เอา ยา มา พ่น ก่อน
202,แกง ขนุน ร้าน พี่ พร ตลาด ประ ตู เชียง ใหม่ เขา ว่า ดี จับ พริก จับ เกือบ ดี แท้
203,จะ ขี่ มอเตอร์ไซค์ ไป ที่ ไหน ทาง ไหน ตอน นี้ จะ ไป ลืม สุบ หมวก กัน น็อก นะ ตํา รวจ เค้า กวด ทุก ที่
204,ได้ สิ พี่ สม คิด อยาก ไป ตลาด บ้าน เหนือ อยู่ เหมือน กัน ลุง พ่อ เขา ฝาก ซื้อ ฝ้าย คลาด มาก เลย จับ
205,ยาย คะ กลาง ค่ํา นี้ เย็น มาก เลย นะ อย่า ลืม จุด ผ้า ห่ม นะ นะ ตอน จะ หลับ ค่ะ
206,วิ่ง เล่น กับ เพื่อน เมื่อ วาน เรา พระ เลิด แล้ว หัว เข่า ไป เรียบ กับ ถนน หัว เข่า ถึง หมด
207,ถ้า ใช้ แป้ง ฝุ่น ประ ดาย จะ ติด ตาม อาบ เสื้อ แล้ว ก็ ที่ อื่น อื่น ให้ เรา ไม่ สบาย ใจ รอ ใส่ ชุด ดํา หัน ได้ ชัด
208,ไป ทาง ไหน ก็ มี แต่ คน จัง เด็ก ไป ไหน ก็ มี แต่ คน นั่ง เล่า สวย เหนื่อย ใจ จริง
209,ผู้ ใหญ่ บ้าน เจอ ตลาด เสียง ตาม สาย บอก ให้ ชาว บ้าน มา ช่วย กัน ทํา ความ สะ อาด วัด พรุ่ง นี้ เขา จะ มา ทาน กฐิน
210,ค่อย ขยะ ออก นะ ระ วัง พวก งู งู เงี้ยว ขี้ยว ขอ แดง จัก เข็บ แมลง สาบ ด้วย
211,อยู่ ที่ บ้าน มัน ก็ ทํา ไม มา เบื่อ มาก ขนาด ไป หา ที่ เที่ยว ไหน ให้ สนุก อก สนุก ใจ ดี
212,ลูก ลอง ไป คอย หา ลุง ที่ บ้าน ให้ แม่ หน่อย สิ ว่า มี บ้าน ก็ แม่ โทร หา มัน ไม่ ติด
213,เอา หนู ดี ไหม เรา แบ่ง กัน ไป หา ข้อ มูล ละ วัน พรุ่ง นี้ ค่อย เอา ข้อ มูล มา พอ กัน
214,เธอ อย่า ไป เชื่อ เขา เยอะ เกิน นะ พี่ นี้ เขา ว่า มัน เป็น คน ขี้ โก หรอ นะ ระ วัง ตัว บ้าง นะ
215,ลุง ว่า จะ นุ่ง ผ้า ท่อน ไป งาน ขึ้น บ้าน ใหม่ เพื่อน ไป มี รีบ จก ออก จาก เร็บ ได้ ยิน เสียง ดัง คุวาก เอา มา ดู เป็น รู้ โค้ โหว้ เอ้อ ได้ ไป หา ซื้อ ผืน ใหม่ มา อีก ล
216,มี คน บอก ว่า เธอ ก็ ขโมย ของ ใน เซ็ว่น มา ใคร บอก ให้ แก ทํา จะ งั้น อะ ไร มา ไม่ ดี แท้ ว่า อยาก ติด หรอก ค่า
217,ตอน นี้ สิ อะ ไร มัน ก็ แพง เมื่อ ก่อน คํา บาท แล้ว ห้า ร้อย หก ร้อย ตอน นี้ บาท ละ หมื่น สอง หมื่น
218,อา จารย์ ให้ ส่ง งาน วัน นี้ ก่อน สี่ โมง เย็น ตัว ทํา แล้ว ยัง ค้าง อีก เยอะ อยู่ ไม่ รู้ จะ ส่ง ทัน ไหม
219,ยาย จันทร์ บ้าน ข้าง เรา นี่ ตก บัน ได้ เมื่อ วาน ตอน นี้ จาก โรง พยาบาล ยัง ไม่ รู้
220,พอ ถึง ช่วง ปี ใหม่ เมือง ผู้ ชาย ตาม บ้าน เรา เขา ก็ จะ มา เจอ กัน มา ช่วย กัน ทํา แกง รัง เล อร่อย ดี มาก
221,พ่อ วัน นี้ ตอน เย็น โรง เรียน เลิก แล้ว ไม่ ต้อง มา รับ นะ จะ อยู่ ทํา งาน กับ เจ้า พวก ที่ โรง เรียน ก่อน
222,เวลา เรา ไป กิน ข้าว ที่ บ้าน ยาย จะ ให้ เรา นั่ง ใต้ แล้ว ก็ นั่ง ทํา ตั้ง หวาย กิน
223,พรุ่ง นี้ แม่ ว่า จะ ทํา แกง ผัก ปัง ไป ใส่ บาตร ที่ วัด วาน ไป เก็บ ผัก ปัง ข้าว รั้ว ให้ แม่ หน่อย เลย
224,เธอ ไป ทํา อะ ไร มา น่ะ แผล ทํา ไม มัน ถึง ขนาด ออก อย่าง นี้ ไป หา หมอ โรง พยาบาล นู่น เลย มัน จะ ได้ หาย เร็ว เร็ว
225,ลูก ไป ทํา อะ ไร มา นั่น ดู สิ ขา หมอง ไป หมด ไป ดู ไป อาบ น้ํา ไว เรียว พ่อ มา เห็น จะ เอา ไม้ เรียว มาก เลย
226,คน เรา ต้อง รู้ จัก ขยัน ทํา งาน นั้น มัน ยัง มี เงิน ได้ อย่าง ไร มัว แต่ ขี้ เกียจ สิบ ปี ก็ ไม่ รวย
227,ไป แล้ว คะ รีบ กลับ ไป ทํา อา หาร เย็น กัน บอก ว่า ทํา อา หาร แล้ว ช่า สามี หนู จะ เดือด เกียจ ฟัง มัน บ่น ชาย
228,หมุน วิทยุ ให้ ยาย หน่อย สิ เมื่อ วาน เอา มือ ไป พัด ใส่ มัน หมุน ไป อยู่ คลื่น ไหน ก็ ไม่ รู้
229,วัน นี้ ทํา งาน บ้าน นะ แม่ คง จะ ไม่ ได้ ไป หา ยาย กับ แม่ แล้ว ไว้ เขา ค่อย ไป วัน อื่น เอา
230,นี่ มัคนายก ทุก คน นี้ ผม ทํา ขึ้น มา เขา ว่า เขา ใช้ เล็ก ปลาย ดาบ มา ตี เล็ก เหล็ก คม อีก สนิม ไม่ กิน ใบ ติด เลย ด้วย
231,โทร หา ไม่ รู้ กี่ สาย ก็ ไม่ มี ใคร รับ ไม่ ใช่ ลืม โทรศัพท์ ไว้ ที่ บ้าน เสีย มั้ย
232,วัน นี้ คุ่ม แม่ บ้าน บ้าน ศรี เนี่ย ทํา น้ํา ชา ละ นาว มา เลี้ยง ใคร อยาก ก่อ ไป ตัก เอา คน เดียว นะ
233,ลุง ตา ครับ ประ ยาง รถ ให้ ผม หน่อย สิ ครับ ยาง รถ ผม รั่ว คง จะ โดน เหล็ก กน
234,ลูก สาว มัน เอา รถ ไป ก้น ที่ ต้น ฉําภา เมื่อ วาน วัน นี้ เลย ว่า จะ ไป ส้อน ขวัน ให้ มัน เสีย หน่อย
235,เมื่อ กี้ ไป บ้าน สม ศรี มา เหนื่อย มาก อา หาร บ้าน ดู อย่าง เขา วง กต ขี่ รถ รอบ ตั้ง ยี่ สิบ รอบ สิ ไม่ ถึง สัก ที
236,พรุ่ง นี้ เขา มี งาน ส่ง การ ทาน ปวด พระ เจ้า วัด เจดีย์ หลวง เห็น ว่า ท่าน จัด งาน ใหญ่ มาก เลย ฉัน ว่า จะ ไป ดู อยู่
237,คน หนึ่ง ก็ ดี กับ เรา มาก อีก คน หนึ่ง ไม่ ค่อย ดี เท่า ไหร่ แต่ เรา ก็ ชอบ ฉัน มาก เรา จะ ทํา อย่าง ไร ดี
238,ไป เมือง จีน ที นี้ ได้ ไป เที่ยว สาม เมือง ก่อน มี ปัก กิ่ง คุณ หมิง แล้ว ก็ เฉิน ตู เป็น เมือง ที่ น่า ไป เที่ยว มาก
239,พี่ กับ พวก พา กัน ไป เดิน เที่ยว ขึ้น ดอย สุเทพ เหนื่อย เลย เหนื่อย ว่า เพราะ ดอย สุเทพ ตั้ง อยู่ สูง เยอะ แก
240,เดี๋ยว อะ ไร ก็ แพง ไป ซื้อ เนื้อ ใน ตลาด จะ เอา มา ทํา ลาบ หมด เป็น ร้อย เมื่อ ก่อน ซื้อ ยี่ สิบ บาท เต็ม หน้า เขียง
241,ถ้า ใคร จะ ออก ไป ข้าง นอก แม่ ขอ ฝาก เสื้อ ไป ให้ ร้าน ลยิบ ผ้า น่อย นะ เสื้อ ปุด ที่ แขน นั้น น้ย
242,เวลา ใส่ เสื้อ ขาว ให้ ใส่ เสื้อ หลอง มับ ทาง ใน ด้วย นะ ไม่ งั้น มัน จะ เห็น ทาง ใน มัน ไม่ ดี ไม่ เรียบ ร้อย เข้า ใจ มั้ย
243,คน แก่ ชอบ ด่า ชอบ ว่า ให้ ลูก หลาน ก็ เพราะ ว่า เขา รัก ฉัน ห่วง พวก เธอ นะ
244,นี่ พี่ จุน นะ เขา เป็น คน กรุง เทพ เขา มา ทํา งาน ที่ บ้าน เรา มา ถ่าย รูป วัด เก่า ตาม หมู่ บ้าน เรา นี่
245,งาน บ้าน เรา ปี นี้ มี ทั้ง สอง เก มี ทั้ง ซอ ตอน กลาง คืน ก็ มี อร่อย อีก
246,ตั้ง ใจ ร่ํา เรียน นะ ลูก ไม่ ต้อง มา ทํา ไร่ ทํา สวน เหมือน พ่อ มัน เหนื่อย ไม่ พอ กิน
247,หญ้า พวก นี้ วิ่ง เลิ้ก เอา ขอ บก กระ จัด ไป แรง แรง หรือ ไม่ ต้อง ถ้า หาก มัน ยัง อยู่ เดี๋ยว สัก หน่อย มัน ก็ จะ งอก ออก มา ใหม่
248,ถ้า ชาว พวก เธอ จาก กรุง เทพ มา เที่ยว เชียง ใหม่ เธอ จะ พา เขา ไป เที่ยว ที่ ไหน บ้าง เหรอ
249,เบื่อ ดอย อินทนนท์ แล้ว มี ดอย ที่ ไหน น่า ดี เที่ยว บ้าง ช่วง นี้ อยาก เดี๋ยว ขึ้น ดอย ไป ตั้ง แค้มป์ ไป นอน ดู ดาว เล่น
250,วัน นี้ ที่ วัด พระ สิงห์ เรา จะ มี งาน บวช นะ พระ ใหญ่ หมด ตา ใส กัน มาก
251,พี่ กํา ลัง หา เสื้อ อุ่น จะ เอา ไป ให้ ลูก ชาย อยาก ได้ ตัว ใหญ่ ใหญ่ สัก ตัว สอง ตัว
252,เธอ เขา ว่า เรา รับ ผลไม้ มา ขาย ดี ไหม อย่าง มะ เต้า เงียบ หนัด มาก เลย ดี ไหม
253,มี ร้าน ส้ม ตํา มา เปิด ใหม่ ที่ ข้าง โรง เรียน เขา ลอง ไป ชิม มา เมื่อ วาน อร่อย มาก เลย
254,เธอ เป็น อะ ไร ก็ หน้า ทํา ไม มา ซีด มาก บอก ว่า ไป หา เหมอ มั้ย เดี๋ยว ฉัน ขับ รถ ไป ส่ง เลย
255,ดู ลูก แม่ ศรี จันทร์ ริม รั้ว นี้ สิ สอบ ได้ หนึ่ง ตลอด ทํา ไม วัน เหน็ด นี้ จริง
256,สวัสดี ครับ ผม อยาก ได้ ที่ นั่ง ว่าง สัก สี่ ที่ ไม่ รู้ ว่า พอ มี เหลือ บ้าง ไหม ครับ
257,ถ้า เธอ จะ ไป สัน ป่า ตอง เธอ ต้อง นั่ง รถ เหลือง ทุ่ง เสี้ยว ที่ ประ ตู เชียง ใหม่ นั่น นะ
258,เธอ ซิ่น นี้ ซื้อ ทาง ไหน มา นี่ ทํา ไม สวย เกิน นะ แพง มั้ย หา พา เค้า ไป ซื้อ หน่อย ได้ มั้ย
259,ป้า ใจ ได้ เธอ ฟรี ไป นิวยอร์ก ไหม เลย ไป อยู่ กับ ลูก เข็ม ขัด หนึ่ง ก่อน จะ ไป ล่อง เรือ สํา ราญ
260,นั่น แหละ งาน เยอะ มาก วัน หยุด ก็ ไม่ มี ให้ เหนื่อย ใจ จน ไม่ อยาก ออก ไป ไหน
261,เอา แก้ว น้ํา วาง ไว้ หมิ่น ก็ เดี๋ยว ก็ เอา มือ ไป พัด ตก แตก เสีย อย่าง เห็น ทํา ใย เชื่อ แก้ว ซื้อ มา แพง พร้อม
262,แม่ ถือ ลัง ห่อ นึ่ง เนื้อ ไก่ ดา ของ เตรียม จะ ไป วัด พรุ่ง นี้ เป็น วัน พระ แรม แปด
263,นี่ เธอ ดู นี่ สิ เข้า มา วัด เดี๋ยว ไม่ ฉาย ขน มอง กลับ มา จาก วัด นี่ เขา มี อะ ไร หรือ เปล่า
264,วัน พรุ่ง นี้ จะ มี ประ ชุม คณะ สงฆท กัน ที่ วัด พระ ธาตุ ศรี จอม ตอง เห็น พระ เห็น เณร ช่วย กัน เตรียม งาน นั้น
265,วัน นี้ ไอ่ ฟลุ้ค มัน ไม่ มา โรง เรียน นะ เมื่อ วาน มัน โดน ครู เดือด ให้ มัน วัน นี้ เลย ปวด หัว
